#=SORT(GOOGLEFINANCE("KRX:KOSPI200", "all", DATE(2003,1,1), DATE(2017,3,31), "DAILY"), 1, FALSE)
# Open,High,Low,Close => 3531
156.2,156.38,154.16,154.65
153.67,156.34,153.41,154.4
155.66,158.04,155.49,157.82
157.05,160.06,156.67,160.06
159.99,160.26,156.09,156.33
154.82,155.01,152.18,152.85
154.07,154.74,150.92,152.48
153.23,153.75,150.14,150.85
151.67,153.03,151.44,152.26
150.8,150.8,147.53,148.11
150.39,150.88,148.72,149.41
147.39,152.22,147.2,152.22
152.98,153.48,151.12,152.27
154.22,154.93,151.39,151.76
152.18,152.46,150.35,151.45
150.92,152.46,149.59,149.88
147.58,147.74,146.11,146.55
148.15,149.09,146.84,148.84
149.9,153.33,149.83,152.98
153.8,155.68,153.28,155.6
157.21,157.21,156.05,156.89
157.53,158.35,156.34,157.28
157.88,157.9,154.93,156.75
156.9,157.72,156.22,157.72
157.44,159.39,156.65,157.87
157.76,158.8,157.39,158.69
160.36,161.89,160.36,161.81
162.3,162.6,161.39,162.02
161.62,162,159.19,161.49
160.74,163.27,160.4,163.24
163.13,163.93,162.16,163.38
164.4,164.92,162.63,163.74
164.24,164.44,161.83,163.1
162.64,162.65,159.23,159.68
160.61,164.74,160.4,164.47
165.55,166.15,164.38,165.56
165.87,166.24,164.45,165.51
165.91,166.08,164.63,165.52
164.54,165.72,162.72,163.7
164.23,166.53,164.23,165.95
165.68,167,164.77,166.97
168.66,168.76,167.52,167.56
167.84,168.28,167.11,168.23
167.79,169.69,167.03,169.24
169.11,170.74,168.51,170.21
169.84,170.7,168.32,170.13
169.45,171.15,168.53,169.16
169.7,171.98,169.7,171.35
171.82,172.15,170.55,171.65
172.95,173.44,170.03,171.15
171.77,172.4,170.18,171.56
169.74,170.74,168.64,169.45
170.07,171.92,169.4,171.91
171.04,172.46,170.8,172.05
172.56,174.27,172.38,173.95
174.87,175.32,172.71,173.89
174.98,175.19,173.69,175.11
175.74,176.81,175.51,176.27
176.77,177.53,176.57,177.2
174.94,176.36,174.39,176.16
176.55,177.96,176.25,177.43
